NAME,ELO,YEAR
San Francisco,1719.41014842,2017.0
Albany (NY),1719.0765902,2015.0
Texas Christian,1718.45327705,2015.0
Southern Illinois,1718.10395983,2016.0
Louisiana-Lafayette,1717.80119388,2014.0
Fresno State,1717.2717737,2015.0
Nebraska-Omaha,1716.48805608,2017.0
Iona,1715.96354587,2017.0
Harvard,1715.35789105,2011.0
Akron,1715.32893908,2012.0
North Carolina-Asheville,1715.32602616,2012.0
Tulsa,1713.08650452,2017.0
Northwestern State,1712.84828168,2013.0
Old Dominion,1712.6452151,2012.0
Penn State,1712.52578304,2014.0
Louisiana-Lafayette,1711.37039223,2017.0
Saint Joseph's,1710.6646422,2013.0
Houston,1710.47612474,2014.0
Princeton,1710.47577837,2012.0
Richmond,1710.17759905,2016.0
Washington State,1709.96182994,2017.0
Oregon State,1709.52737624,2014.0
Virginia,1709.44124756,2012.0
Notre Dame,1708.35496007,2014.0
Yale,1707.78606869,2015.0
Towson,1707.58363599,2017.0
Iona,1707.55658181,2014.0
Miami (FL),1706.67153676,2012.0
Wright State,1706.45957554,2017.0
Weber State,1706.36636513,2012.0
Valparaiso,1706.27196683,2012.0
Seton Hall,1706.17199357,2015.0
Washington,1706.15256085,2011.0
Harvard,1705.76591734,2013.0
Northwestern,1705.28164503,2014.0
Xavier,1705.20275421,2013.0
Massachusetts,1704.15965779,2015.0
Central Michigan,1703.58189339,2015.0
Oregon State,1703.36749368,2015.0
Northern Iowa,1702.88127407,2013.0
Pacific,1702.207695,2013.0
Indiana State,1702.07537455,2011.0
Pepperdine,1701.47744728,2015.0
Texas Christian,1700.59421831,2016.0
Utah State,1700.58964879,2016.0
Charlotte,1699.96365449,2013.0
Furman,1699.91708412,2017.0
Boston College,1699.88527689,2015.0
Harvard,1699.85158471,2017.0
Butler,1698.50243796,2012.0
Manhattan,1698.47421644,2015.0
West Virginia,1697.94783837,2011.0
Murray State,1697.47690401,2013.0
Washington,1697.45950096,2015.0
North Florida,1697.35105839,2015.0
Eastern Michigan,1697.07222137,2016.0
Wofford,1696.77756132,2011.0
Wake Forest,1696.67966489,2014.0
Toledo,1696.54676806,2015.0
UC-Irvine,1695.64080757,2014.0
Alabama,1695.56271875,2011.0
Evansville,1695.50983808,2017.0
UCLA,1695.4008,2012.0
Princeton,1695.31877189,2014.0
La Salle,1695.04454958,2015.0
North Dakota State,1694.96670982,2016.0
Albany (NY),1694.29634845,2016.0
Detroit Mercy,1693.91391496,2013.0
IPFW,1693.63806948,2014.0
Towson,1693.43913266,2014.0
Oklahoma State,1693.39093443,2016.0
Middle Tennessee,1693.16705076,2015.0
Colorado,1693.12488041,2011.0
Rutgers,1692.94135666,2017.0
Boston College,1692.86353394,2013.0
Western Kentucky,1692.55838321,2016.0
Alabama,1692.44212308,2014.0
